name,Dados faltantes originalmente,Dados faltantes pós interpolação,Dados preenchidos,Percentual de faltantes preenchidos
id_osm,0,0,0,0.0%
logradouro,64028,64028,0,0.0%
logradouro_alt1,209426,193338,16088,7.7%
logradouro_alt2,217540,217501,39,0.0%
logradouro_alt3,217540,217539,1,0.0%
logradouro_ref,213114,211127,1987,0.9%
tipo_via,2,2,0,0.0%
faixas,164095,146883,17212,10.5%
limite_velocidade,183432,163860,19572,10.7%
limite_velocidade_pesados,215539,214400,1139,0.5%
motocicleta,217260,216566,694,0.3%
mao_unica,133081,108949,24132,18.1%
superficie,97073,80263,16810,17.3%
elevado,214831,199865,14966,7.0%
geometry,0,0,0,0.0%
comprimento,0,0,0,0.0%
